delay,cdf
0.0,0.010416666666666666
0.0,0.020833333333333332
0.0,0.03125
0.0,0.041666666666666664
0.0,0.052083333333333336
0.0,0.0625
0.0,0.07291666666666667
0.0,0.08333333333333333
0.0,0.09375
0.0,0.10416666666666667
0.0,0.11458333333333333
0.0,0.125
0.0,0.13541666666666666
0.0,0.14583333333333334
0.0,0.15625
0.0,0.16666666666666666
0.0,0.17708333333333334
0.0,0.1875
0.0,0.19791666666666666
0.0,0.20833333333333334
0.0,0.21875
0.0,0.22916666666666666
0.0,0.23958333333333334
0.0,0.25
0.0,0.2604166666666667
0.0,0.2708333333333333
0.0,0.28125
0.0,0.2916666666666667
0.0,0.3020833333333333
0.0,0.3125
0.0,0.3229166666666667
0.0,0.3333333333333333
0.0,0.34375
0.0,0.3541666666666667
0.0,0.3645833333333333
0.0,0.375
0.0,0.3854166666666667
0.0,0.3958333333333333
0.0,0.40625
0.0,0.4166666666666667
0.0,0.4270833333333333
0.0,0.4375
0.0,0.4479166666666667
0.0,0.4583333333333333
0.0,0.46875
0.0,0.4791666666666667
0.0,0.4895833333333333
0.0,0.5
0.0,0.5104166666666666
0.0,0.5208333333333334
0.0,0.53125
0.0,0.5416666666666666
0.0,0.5520833333333334
0.0,0.5625
0.0,0.5729166666666666
0.0,0.5833333333333334
0.0,0.59375
0.0,0.6041666666666666
0.0,0.6145833333333334
0.0,0.625
0.0,0.6354166666666666
0.0,0.6458333333333334
0.0,0.65625
0.0,0.6666666666666666
0.0,0.6770833333333334
0.0,0.6875
0.0,0.6979166666666666
0.0,0.7083333333333334
0.0,0.71875
0.0,0.7291666666666666
0.0,0.7395833333333334
0.0,0.75
0.0,0.7604166666666666
0.0,0.7708333333333334
0.0,0.78125
0.0,0.7916666666666666
0.0,0.8020833333333334
0.0,0.8125
0.0,0.8229166666666666
0.0,0.8333333333333334
0.0,0.84375
0.0,0.8541666666666666
0.0,0.8645833333333334
0.0,0.875
0.0,0.8854166666666666
0.0,0.8958333333333334
0.0,0.90625
0.0,0.9166666666666666
0.0,0.9270833333333334
0.0,0.9375
0.0,0.9479166666666666
0.0,0.9583333333333334
0.0,0.96875
0.0,0.9791666666666666
0.0,0.9895833333333334
0.0,1.0
